Code postal;Numéro;Implantation;Rue croisement 1;Rue croisement 2;Rue croisement 3;Précision de l’implantation;Date de mise en service
75014;51743;Avenue de la Porte d'Orléans, place du 25 août 1944;Avenue de la Porte d'Orléans; place du 25 août 1944;;croisement;04/05/12
75014;10155;Avenue Ernest Reyer, rue Edmond Rousse;Avenue Ernest Reyer; rue Edmond Rousse;;croisement;28/12/12
75014;13654;Avenue Jean Moulin, rue Auguste Cain;Avenue Jean Moulin; rue Auguste Cain;;croisement;05/10/12
75014;73923;Avenue Jean Moulin, boulevard Brune;Avenue Jean Moulin; boulevard Brune;;croisement;22/06/12
75014;77797;Avenue Marc Sangnier, rue Wilfrid Laurier;Avenue Marc Sangnier; rue Wilfrid Laurier;;croisement;26/10/12
75014;56510;Avenue Maurice d'Ocagne, avenue Georges Lafenestre;Avenue Maurice d'Ocagne; avenue Georges Lafenestre;;croisement;17/02/12
75014;14067;Avenue Reille, rue René Coty;Avenue Reille; rue René Coty;;croisement;01/12/16
75014;14068;Avenue Reille, rue Gazan et rue Lemaignan;Avenue Reille; rue Gazan et rue Lemaignan;;croisement;08/09/16
75014;43339;Boulevard Arago, rue du Faubourg Saint-Jacques;Boulevard Arago; rue du Faubourg Saint-Jacques;;croisement;20/01/12
75014;39250;Boulevard Auguste Blanqui, rue de la Santé;Boulevard Auguste Blanqui; rue de la Santé;;croisement;20/01/12
75014;81104;Boulevard Brune, avenue de la Porte de Vanves;Boulevard Brune; avenue de la Porte de Vanves;;croisement;17/02/12
75014;71184;Boulevard de Port Royal, avenue de l'Observatoire;Boulevard de Port Royal; avenue de l'Observatoire;;croisement;21/12/11
75014;86283;Boulevard Edgard Quinet, boulevard Raspail;Boulevard Edgard Quinet; boulevard Raspail;;croisement;13/04/12
75014;97328;Boulevard Jourdan, rue Emile Deutsch de la Meurthe;Boulevard Jourdan; rue Emile Deutsch de la Meurthe;;croisement;21/09/12
75014;44351;Boulevard Jourdan — RER;;;;point décrit;17/05/13
75014;13583;Boulevard Raspail, rue Huyghens;Boulevard Raspail; rue Huyghens;;croisement;27/01/12
75014;81962;Jonction boulevard Brune, boulevard Jourdan;Jonction boulevard Brune; boulevard Jourdan;;croisement;19/12/14
75014;15349;Place de la Porte de Vanves;;;;adresse imprécise;14/12/12
75014;79474;Place de Moro Giafféri;;;;adresse imprécise;21/12/11
75014;20037;Place Denfert Rochereau, avenue du Général Leclerc;Place Denfert Rochereau; avenue du Général Leclerc;;croisement;20/01/12
75014;16056;Place Denfert-Rochereau, rue de Grancey;Place Denfert-Rochereau; rue de Grancey;;croisement;21/12/11
75014;18838;Place Denfert-Rochereau, boulevard Saint-Jacques;Place Denfert-Rochereau; boulevard Saint-Jacques;;croisement;27/01/12
75014;48506;Place Fernand Mourlot — rue de la Gaîté, boulevard Edgard Quinet;;;;point décrit;19/06/15
75014;54322;Place Perroy, avenue du Maine;Place Perroy; avenue du Maine;;croisement;08/06/12
75014;32762;Place Victor et Hélène Basch;;;;adresse imprécise;25/05/12
75014;14070;Promenade plantée Broussais — le long de la promenade;;;;point décrit;inconnue
75014;14071;Promenade plantée Broussais — zone bâtiment E.H.P.A.D.;;;;point décrit;inconnue
75014;60857;Rue Boulard, rue Daguerre;Rue Boulard; rue Daguerre;;croisement;21/12/11
75014;33506;Rue d'Alésia, rue de la Tombe Issoire;Rue d'Alésia; rue de la Tombe Issoire;;croisement;30/03/12
75014;70540;Rue d'Alésia, villa d'Alésia;Rue d'Alésia; villa d'Alésia;;croisement;02/11/12
75014;83358;Rue d'Alésia, rue Didot;Rue d'Alésia; rue Didot;;croisement;28/09/12
75014;18452;Rue de l'Eure, rue Didot;Rue de l'Eure; rue Didot;;croisement;24/02/12
