Code postal;Numéro;Implantation;Rue croisement 1;Rue croisement 2;Rue croisement 3;Précision de l’implantation;Date de mise en service
75010;10064;Rue du Faubourg Saint-Denis, rue de Metz;Rue du Faubourg Saint-Denis; rue de Metz;;croisement;14/10/16
75010;10068;Rue du Faubourg Saint-Denis, boulevard Magenta — square A Satragne;Rue du Faubourg Saint-Denis; boulevard Magenta — square A Satragne;;croisement;04/01/17
75010;10966;Rue du Faubourg Saint-Martin, rue La Fayette;Rue du Faubourg Saint-Martin; rue La Fayette;;croisement;12/10/12
75010;38438;Rue du Faubourg Saint-Martin, rue du Château d'Eau;Rue du Faubourg Saint-Martin; rue du Château d'Eau;;croisement;05/10/12
75010;45724;Rue du Faubourg Saint-Martin, rue du 8 mai 1945;Rue du Faubourg Saint-Martin; rue du 8 mai 1945;;croisement;06/07/12
75010;56959;Rue du Faubourg Saint-Martin, boulevard de Magenta;Rue du Faubourg Saint-Martin; boulevard de Magenta;;croisement;19/10/12
75010;10069;Rue Georg Friedrich Haendel;;;;adresse imprécise;03/03/17
75010;10075;Rue Léon Schwartzenberg (Médiathèque);;;;point décrit;inconnue
75010;10072;Rue Saint-Maur, rue du Buisson Saint-Louis;Rue Saint-Maur; rue du Buisson Saint-Louis;;croisement;04/08/16
75011;44425;Avenue de la République, rue Saint-Maur;Avenue de la République; rue Saint-Maur;;croisement;15/06/12
75011;30567;Avenue Parmentier, rue Oberkampf;Avenue Parmentier; rue Oberkampf;;croisement;25/05/12
75011;33278;Avenue Philippe Auguste, boulevard de Charonne;Avenue Philippe Auguste; boulevard de Charonne;;croisement;22/06/12
75011;53843;Boulevard Richard Lenoir, rue Saint-Sabin;Boulevard Richard Lenoir; rue Saint-Sabin;;croisement;27/07/12
75011;13871;Boulevard Voltaire, rue Jean-Pierre Timbaud;Boulevard Voltaire; rue Jean-Pierre Timbaud;;croisement;01/03/13
75011;43592;Boulevard Voltaire, rue du Chemin Vert;Boulevard Voltaire; rue du Chemin Vert;;croisement;09/11/12
75011;52920;Boulevard Voltaire, rue de Montreuil;Boulevard Voltaire; rue de Montreuil;;croisement;04/05/12
75011;68231;Boulevard Voltaire, rue Saint-Ambroise;Boulevard Voltaire; rue Saint-Ambroise;;croisement;08/06/12
75011;79048;Boulevard Voltaire, rue Léon Frot;Boulevard Voltaire; rue Léon Frot;;croisement;13/07/12
75011;11057;Bréguet Chemin Vert — Villa Marcès — gymnase;;;;point décrit;inconnue
75011;30471;Colonne Bastille Nord;;;;point décrit;14/09/12
75011;11058;Jardin Truillot — entrée jardin côté boulevard Richard Lenoir;;;;point décrit;inconnue
75011;88838;Place de la Bastille, rue de la Roquette;Place de la Bastille; rue de la Roquette;;croisement;01/06/12
75011;28421;Place de la Nation, Cours de Vincennes;Place de la Nation; Cours de Vincennes;;croisement;20/04/12
75011;64906;Place de la Nation, boulevard Diderot;Place de la Nation; boulevard Diderot;;croisement;20/04/12
75011;69661;Place de la Nation, rue de Taillebourg;Place de la Nation; rue de Taillebourg;;croisement;01/06/12
75011;87044;Place de la Nation, rue du Faubourg Saint-Antoine;Place de la Nation; rue du Faubourg Saint-Antoine;;croisement;20/04/12
75011;86133;Place de la République, avenue de laRépublique;Place de la République; avenue de laRépublique;;croisement;01/03/13
75011;96081;Place de la République, boulevard Voltaire;Place de la République; boulevard Voltaire;;croisement;01/03/13
75011;46326;Place Léon Blum (Sud), boulevard Voltaire;Place Léon Blum (Sud); boulevard Voltaire;;croisement;09/03/12
75011;11056;Rue de Charonne, rue de Lappe;Rue de Charonne; rue de Lappe;;croisement;07/04/17
75011;30637;Rue de Charonne, avenue Ledru-Rollin;Rue de Charonne; avenue Ledru-Rollin;;croisement;01/06/12
75011;94639;Rue de l'Orillon, boulevard de Belleville;Rue de l'Orillon; boulevard de Belleville;;croisement;20/01/12
75011;84362;Rue Faidherbe, rue du Faubourg Saint-Antoine;Rue Faidherbe; rue du Faubourg Saint-Antoine;;croisement;09/03/12
75011;85426;Rue Jean-Pierre Timbaud, rue Moret, rue de Vaucouleurs;Rue Jean-Pierre Timbaud; rue Moret; rue de Vaucouleurs;croisement;16/11/12
75011;37820;Rue Léon Frot, rue Mercœur;Rue Léon Frot; rue Mercœur;;croisement;13/04/12
75011;55843;Rue Mercœur, rue Auguste Laurent;Rue Mercœur; rue Auguste Laurent;;croisement;08/06/12
75011;15301;Rue Merlin, rue Duranti;Rue Merlin; rue Duranti;;croisement;24/02/12
75011;16178;Rue Oberkampf, boulevard Voltaire;Rue Oberkampf; boulevard Voltaire;;croisement;05/07/13
75011;60866;Rue Robert Houdin, rue du Faubourg du Temple;Rue Robert Houdin; rue du Faubourg du Temple;;croisement;19/10/12
75011;81850;Rue Saint-Maur, avenue de la République;Rue Saint-Maur; avenue de la République;;croisement;15/06/12
75012;12432;12-14, cité Moynet;;;;point décrit;27/07/12
75012;16271;177, rue de Bercy;;;;adresse précise;11/05/12
75012;87643;19, rue du Colonel Rozanoff;;;;adresse précise;28/11/14
75012;64001;59, boulevard Soult;;;;adresse précise;09/11/12
75012;68606;63, rue de Picpus;;;;adresse précise;31/08/12
75012;37644;Avenue Courteline, boulevard périphérique intérieur;Avenue Courteline; boulevard périphérique intérieur;;croisement;16/11/12
75012;58302;Avenue Daumesnil, boulevard Diderot;Avenue Daumesnil; boulevard Diderot;;croisement;05/10/12
75012;12089;Avenue du Général Bizot, rue du Sahel;Avenue du Général Bizot; rue du Sahel;;croisement;29/11/16
75012;94387;Avenue Ledru Rollin, rue du Faubourg Saint-Antoine;Avenue Ledru Rollin; rue du Faubourg Saint-Antoine;;croisement;16/03/12
75012;80257;Avenue Saint-Mandé, rue de Picpus;Avenue Saint-Mandé; rue de Picpus;;croisement;22/06/12
75012;12087;Bercy Charenton — prolongement rue Baron Le Roy;;;;point décrit;inconnue
75012;94447;Boulevard de Reuilly, rue Taine;Boulevard de Reuilly; rue Taine;;croisement;13/07/12
75012;61905;Boulevard Diderot, rue de Picpus;Boulevard Diderot; rue de Picpus;;croisement;21/12/11
75012;73321;Boulevard Diderot, rue de Bercy;Boulevard Diderot; rue de Bercy;;croisement;13/04/12
75012;14293;Boulevard Diderot, rue Michel Chasles;Boulevard Diderot; rue Michel Chasles;;croisement;06/04/12
75012;93044;Boulevard Soult, avenue de la Porte de Vincennes;Boulevard Soult; avenue de la Porte de Vincennes;;croisement;23/11/12
75012;97975;Boulevard Soult, avenue de Saint-Mandé;Boulevard Soult; avenue de Saint-Mandé;;croisement;16/11/12
75012;97975A;Boulevard Soult, avenue Courteline;Boulevard Soult; avenue Courteline;;croisement;16/11/12
75012;47130;Colonne Bastille Sud;;;;point décrit;14/09/12
75012;42411;Cours de Vincennes, avenue du Docteur Arnold Netter;Cours de Vincennes; avenue du Docteur Arnold Netter;;croisement;20/12/13
75012;10100;Cours de Vincennes, avenue du Trône;Cours de Vincennes; avenue du Trône;;croisement;08/06/12
