Code postal;Numéro;Implantation;Date de mise en service
75010;73562;Quai de Valmy, rue de Lancry;17/02/12
75010;75111;Boulevard de la Villette, rue La Fayette;03/08/12
75010;75399;Rue du Faubourg Saint-Denis, rue Cail;25/05/12
75010;76166;11, boulevard de Bonne Nouvelle;21/12/11
75010;77612;Boulevard de la Chapelle, rue de Maubeuge;08/06/12
75010;78368;Rue de Dunkerque, rue La Fayette;25/05/12
75010;79289;Rue d'Alsace, rue des deux Gares;08/06/12
75010;80333;Rue du Château Landon, rue du Faubourg Saint-Martin;23/03/12
75010;86043;Place du Colonel Fabien, rue de la Grange aux Belles;11/05/12
75010;86066;Rue du Faubourg Saint-Denis, rue Demarquay;22/02/13
75010;87526;Place Franz Liszt, rue La Fayette;12/10/12
75010;92421;Rue du Faubourg du Temple, boulevard de la Villette;31/05/13
75010;98051;Place de la République, rue du Faubourg du Temple;26/10/12
75011;11056;Rue de Charonne, rue de Lappe;07/04/17
75011;11057;Bréguet Chemin Vert — Villa Marcès — gymnase;
75011;11058;Jardin Truillot — entrée jardin côté boulevard Richard Lenoir;
75011;12357;Rue du Faubourg Saint-Antoine, rue de la Forge Royale;02/03/12
75012;12084;Caserne Reuilly — placette Chaligny vers jardin ouvert;
75012;12085;Caserne Reuilly — placette Diderot vers jardin ouvert;
75012;12087;Bercy Charenton — prolongement rue Baron Le Roy;
75012;12088;Léo Lagrange;
75012;12089;Avenue du Général Bizot, rue du Sahel;29/11/16
75012;12090;Rue Jacques Hillairet, rue Albinoni;20/10/16
75012;12091;Rue Fécamp, avenue Daumesnil;01/09/16
75012;12432;12-14, cité Moynet;27/07/12
75012;13469;Face au 30, boulevard Carnot;02/11/12
75012;14293;Boulevard Diderot, rue Michel Chasles;06/04/12
75012;16271;177, rue de Bercy;11/05/12
75012;16993;Avenue Daumesnil, route de ceinture du lac Daumesnil;18/01/13
75012;17662;Rue de Tourneux, rue Edouard Robert;20/04/12
75012;17733;Place de la Bastille, port de l'Arsenal;09/11/12
75012;19779;Boulevard Poniatowski, rue Claude Decaen;07/12/12
75012;19963;Rue de Wattignies, rue de Fécamp;07/09/12
75012;22458;Place Edouard Renard, boulevard Soult;07/12/12
75012;25517;Avenue Daumesnil, avenue Ledru Rollin;06/07/12
75012;30427;Place Colonel Bourgouin — rue Erard, rue de Charenton;14/09/12
75012;30738;Quai de Bercy, niveau POPB;01/06/12
75012;30906;Place Henri Frenay, rue Roland Barthes;20/07/12
75012;32959;195, rue de Bercy;11/05/12
75012;33039;Place de la Bastille, rue de Lyon;09/11/12
75012;33553;Place d'Aligre;04/05/12
75012;33599;Pont Charles de Gaulle, quai de la Rapée;11/05/12
75012;35702;Quai de la Râpée, boulevard Diderot;27/04/12
75012;36726;Rue de Charenton, avenue Ledru Rollin;23/03/12
75012;37644;Avenue Courteline, boulevard périphérique intérieur;16/11/12
75012;38396;Place Félix Eboué;13/04/12
75012;41676;Rue Reuilly, boulevard Diderot;13/01/12
75012;42411;Cours de Vincennes, avenue du Docteur Arnold Netter;20/12/13
75012;42724;Place du Bataillon du Pacifique;18/03/14
75012;46378;Quai de la Râpée, avenue Ledru Rollin;22/06/12
75012;47130;Colonne Bastille Sud;14/09/12
75012;47573;Avenue Daumesnil, rue de Rambouillet;03/02/12
75012;48147;Place des Combattants en Afrique du Nord;13/04/12
75012;50229;Place Edouard Renard;09/11/12
75012;53155;Rue de la Brèche aux Loups, rue de la Durance;04/05/12
75012;55469;Boulevard Diderot, rue de Chaligny;21/12/11
75012;58302;Avenue Daumesnil, boulevard Diderot;05/10/12
75012;60061;Rue François Truffaut, rue de l'Ambroisie;09/11/12
75012;61905;Boulevard Diderot, rue de Picpus;21/12/11
75012;62164;Rue Roland Barthes, rue Chrétien deTroyes;18/05/12
75012;64001;59, boulevard Soult;09/11/12
75012;65346;Quai de Bercy, pont de Tolbiac;20/07/12
75012;66094;Pont de Bercy Rive droite;20/04/12
75012;68606;63, rue de Picpus;31/08/12
75012;72637;Route de la Pyramide;15/05/15
75012;73321;Boulevard Diderot, rue de Bercy;13/04/12
75012;75510;Rue Montgallet, rue de Reuilly;13/01/12
75012;77071;Place Henri Frenay;03/02/12
75012;80257;Avenue Saint-Mandé, rue de Picpus;22/06/12
75012;81204;Avenue de la Porte de Vincennes;16/11/12
75013;14765;Place de Vénétie;25/01/13
75013;15476;Rue de Tolbiac, rue du Chevaleret;23/03/12
75013;15868;Rue des Peupliers, rue du docteur Tuffier;07/09/12
75013;16244;Avenue de la Porte d'Ivry, avenue Claude Régaud;19/10/12
75013;16986;Avenue d'Italie, rue de Tolbiac;10/08/12
75013;17197;Rue Docteur Magnan, rue Charles Moureu;01/06/12
75013;18332;Rue du Chevaleret, rue Clisson;13/07/12
75013;19286;Olympiades — Rome (accueil);18/01/13
75013;19566;Avenue d'Ivry (côté impair) au niveau de la rue Regnault;17/02/12
75013;19891;Place d'Italie, boulevard Vincent Auriol;21/12/11
75013;23065;Avenue d'Italie, rue Vandrezanne;19/10/12
75013;25765;Rue Cantagrel, rue Eugène Oudiné;07/06/13
75013;28637;Rue Péan, boulevard Masséna;18/01/13
75013;29435;Rue Albert, rue Jean Fautrier;17/02/12
75013;29712;Avenue de France, rue Raymond Aron;01/11/13
75013;30118;15 bis, rue de Tolbiac;21/12/11
75013;30922;Quai François Mauriac, passerelle Simone de Beauvoir;13/07/12
75013;33183;Boulevard Général Jean Simon, Pont National;28/12/12
75013;34836;Boulevard Massena, avenue de Choisy;17/05/13
75013;35012;Place Claude Bourdet, rue des Cordelières, rue Corvisart;21/12/11
75013;45705;Carrefour des Gobelins;01/06/12
75013;46911;Rue Sainte-Hélène, rue de la poterne des Peupliers;19/10/12
75013;47653;Rue du Dessous des Berges, rue Eugène Oudiné, rue de Patay;21/12/11
75013;47824;Rue Jeanne d'Arc, rue de Domrémy, rue de Patay;24/08/12
75013;48567;Avenue des Gobelins, boulevard Saint-Marcel;01/06/12
75013;53448;Avenue des Gobelins, boulevard Saint- Marcel;01/06/12
75013;58448;Avenue de France, boulevard Vincent Auriol;21/12/11
75013;58557;Boulevard Saint-Marcel, boulevard de l'Hôpital;01/06/12
