Code postal;Numéro;Implantation;Précision de l’implantation;Date de mise en service;lon;lat
75003;27377;Rue de Turbigo, rue des Fontaines du Temple;croisement;18/05/12;2.3580936;48.8659179
75010;27797;Rue du Faubourg du Temple, avenue Parmentier;croisement;19/10/12;2.3710329;48.8699927
75009;27982;Rue du Faubourg Poissonnière, rue du Delta;croisement;19/06/15;2.3496702;48.8823973
75019;28130;Quai de la Marne, rue de Crimée;croisement;23/11/12;2.3796279;48.88818
75010;28234;Boulevard de Magenta, rue La Fayette;croisement;08/11/13;2.3538871;48.8785378
75007;28398;Boulevard de la Tour Maubourg, avenue de Tourville;croisement;03/02/12;2.30954653333333;48.8539940666667
75013;28637;Rue Péan, boulevard Masséna;croisement;18/01/13;2.37166845;48.82225235
75018;28849;Rue Stephenson, rue de Laghouat;croisement;25/01/13;2.3562029;48.888006
75004;29297;Place de l'Hôtel de Ville, avenue Victoria;croisement;03/02/12;2.3510829;48.8567676
75006;29482;Rue d'Assas, rue Auguste Comte;croisement;24/08/12;2.3328866;48.8443847
75007;29504;Boulevard Saint-Germain, rue de Bellechasse;croisement;27/01/12;2.3231292;48.8585104
75010;29730;Rue d'Alsace, rue du 8 Mai 1945;croisement;13/04/12;2.3574369;48.8762777
75003;29963;Boulevard Beaumarchais, rue Saint-Sébastien;croisement;17/08/12;2.3673344;48.8606498
75011;30567;Avenue Parmentier, rue Oberkampf;croisement;25/05/12;2.3747379;48.8650641
75011;30637;Rue de Charonne, avenue Ledru-Rollin;croisement;01/06/12;2.3772848;48.8532731
75007;30736;Rue de Sèvres, rue du Bac;croisement;23/03/12;2.32414;48.8502335
75012;30906;Place Henri Frenay, rue Roland Barthes;croisement;20/07/12;2.3773117;48.844556
75013;30922;Quai François Mauriac, passerelle Simone de Beauvoir;croisement;13/07/12;2.37675026552141;48.8345326957541
75006;31195;Quai de Conti, pont Neuf;croisement;17/02/12;2.3404015;48.8561313
75004;31606;Rue de la Coutellerie, avenue Victoria;croisement;21/12/11;2.3495508;48.8572365
75002;31706;Place de la Bourse, rue du Quatre Septembre;croisement;21/12/11;2.3401064;48.8689122
75017;32355;Rue Boulay, rue de la Jonquière;croisement;21/12/11;2.3184424;48.8948384
75005;33168;Rue du Cardinal Lemoine, rue Monge;croisement;21/12/11;2.3516349;48.8466037
75011;33278;Avenue Philippe Auguste, boulevard de Charonne;croisement;22/06/12;2.38975308;48.85832448
75007;33282;Avenue du Maréchal Galliéni, rue de l'Université;croisement;27/04/12;2.3132382;48.8610518
75014;33506;Rue d'Alésia, rue de la Tombe Issoire;croisement;30/03/12;2.3325261;48.8278106
75012;33599;Pont Charles de Gaulle, quai de la Rapée;croisement;11/05/12;2.370327;48.8431945
75016;33823;Avenue Victor Hugo, place Victor Hugo;croisement;21/12/11;2.2854218;48.8697071666667
75019;34611;Boulevard Sérurier, rue de Périgueux;croisement;21/09/12;2.3945146;48.8846143
75001;34698;Rue Pierre Lescot, rue de Turbigo;croisement;27/01/12;2.3491066;48.8637682
75009;34724;Rue Chauchat, rue Rossini;croisement;10/02/12;2.3394966;48.8730447
75019;34892;Place du Général Cochet, boulevard Sérurier;croisement;27/07/12;2.394123025;48.8865484
75013;35012;Place Claude Bourdet, rue des Cordelières, rue Corvisart;croisement;21/12/11;2.3471826;48.8328182
75018;35021;Rue Ordener, rue des Poissonniers;croisement;25/05/12;2.351628;48.8911829
75009;35099;Place Blanche, boulevard de Clichy, rue de Bruxelles;croisement;10/02/12;2.33245035;48.8838686375
75011;35385;Rue Sedaine, boulevard Richard Lenoir;croisement;01/06/12;2.3704872;48.855449
75016;35575;Avenue de la Grande Armée, rue de Tilsitt;croisement;07/09/12;2.29299195;48.87442665
75019;36303;Rue Petit, passage du Sud;croisement;21/12/11;2.3819704;48.8848321
75016;36609;Rue d'Ankara, avenue du Président Kennedy;croisement;12/10/12;2.2835924;48.8545368
75003;36697;Rue Réaumur, rue de Turbigo;croisement;20/01/12;2.356127175;48.86545485
75010;37472;Rue de Paradis, rue du Faubourg Poissonnière;croisement;22/06/12;2.3482432;48.8757887
75010;37532;Rue de Sambre et Meuse, rue Sainte-Marthe;croisement;13/01/12;2.3732122;48.8745461
75015;37792;Rue des Entrepreneurs, rue du Commerce;croisement;02/07/14;2.293009;48.8436769
75008;37958;Rue Royale, rue Saint-Honoré;croisement;21/09/12;2.3232684;48.8683824
75008;39003;Rue de Ponthieu, rue Paul Baudry;croisement;24/08/12;2.3061228;48.8717902
75020;39069;Avenue Gambetta, rue Pelleport;croisement;22/06/12;2.4014206;48.8683061
75014;39250;Boulevard Auguste Blanqui, rue de la Santé;croisement;20/01/12;2.34112648;48.8318921
75016;39331;Avenue du Général Sarrail, boulevard d'Auteuil;croisement;27/01/12;2.2559052;48.8454249
75007;39480;Boulevard Raspail, rue de Varenne;croisement;27/07/12;2.3262995;48.8533882
75019;39892;Boulevard Sérurier, rue des Bois;croisement;28/12/12;2.40134;48.8787345
75007;39930;Rue Jacob, rue des Saints-Pères;croisement;17/02/12;2.3316717;48.8563151
75007;39992;Quai Branly, pont d'Iéna;croisement;10/02/12;2.29316884223752;48.8590478011001
75003;40244;Boulevard de Sébastopol, rue de Turbigo;croisement;25/05/12;2.35151361428571;48.8643865428571
75018;40936;Rue Léon, rue Cavé;croisement;25/05/12;2.3534361;48.8867347
75014;41203;Avenue de la Porte d'Orléans, boulevard Romain Rolland;croisement;19/10/12;2.3257586;48.8198018
75008;41361;Place de Clichy, avenue de Clichy;croisement;25/10/13;2.3273611;48.8836682
75006;41562;Boulevard Raspail, boulevard du Montparnasse;croisement;25/05/12;2.32957174;48.8420199
